# Data from Seiff et al. (1998), JGR, V.103, p.22857 -- tables 7 & 8
# Provided by Sushil Atreya, University of Michigan. (2016)
#Z(km)	T(K)	P (N/m2)	rho(kg/m3)	a (m/s)
1029.20	899.90	9.7606E-05	2.8961E-11	2199.02
1020.00	903.40	1.0315E-04	3.0487E-11	2203.29
1000.00	897.00	1.1632E-04	3.4625E-11	2195.47
980.00	883.90	1.3142E-04	3.9699E-11	2179.38
960.00	872.20	1.4875E-04	4.5536E-11	2164.91
940.00	866.00	1.6860E-04	5.1985E-11	2157.20
920.00	865.40	1.9130E-04	5.9024E-11	2156.46
900.00	869.10	2.1694E-04	6.6649E-11	2161.06
880.00	875.20	2.4592E-04	7.5025E-11	2168.63
860.00	881.40	2.7854E-04	8.4381E-11	2176.30
840.00	885.20	3.1532E-04	9.5113E-11	2180.99
820.00	884.40	3.5687E-04	1.0774E-10	2180.00
800.00	877.20	4.0429E-04	1.2306E-10	2171.11
780.00	862.20	4.5870E-04	1.4205E-10	2152.46
760.00	840.00	5.2203E-04	1.6594E-10	2124.57
740.00	812.00	5.9650E-04	1.9615E-10	2088.86
720.00	776.10	6.8546E-04	2.3583E-10	2042.17
700.00	741.00	7.9307E-04	2.8577E-10	1995.45
680.00	712.80	9.2378E-04	3.4604E-10	1957.11
660.00	692.70	1.0822E-03	4.1713E-10	1929.32
640.00	680.20	1.2726E-03	4.9957E-10	1911.83
620.00	674.60	1.5006E-03	5.9395E-10	1903.95
600.00	669.80	1.7722E-03	7.0646E-10	1897.16
580.00	670.30	2.0944E-03	8.3429E-10	1897.87
560.00	664.00	2.4774E-03	9.9622E-10	1888.93
540.00	642.40	2.9415E-03	1.2226E-09	1857.95
520.00	594.30	3.5302E-03	1.5860E-09	1787.04
500.00	545.90	4.3124E-03	2.1093E-09	1712.73
480.00	535.80	5.3348E-03	2.6585E-09	1696.81
460.00	535.70	6.6044E-03	3.2918E-09	1696.65
440.00	483.10	8.2570E-03	4.5636E-09	1611.20
420.00	392.90	1.0862E-02	7.3817E-09	1453.02
400.00	370.20	1.4824E-02	1.0692E-08	1410.43
380.00	289.20	2.1349E-02	1.9711E-08	1246.61
360.00	231.70	3.4116E-02	3.9315E-08	1115.82
340.00	198.60	6.1160E-02	8.2227E-08	1033.05
320.00	194.20	1.1673E-01	1.6049E-07	1021.54
300.00	177.60	2.2058E-01	3.3163E-07	976.91
280.00	152.80	4.8636E-01	8.4989E-07	906.14
260.00	151.00	1.1085E+00	1.9601E-06	900.78
240.00	155.70	2.5078E+00	4.3006E-06	914.70
220.00	157.20	5.6671E+00	9.6258E-06	919.09
200.00	158.20	1.2737E+01	2.1497E-05	922.01
180.00	157.40	2.8614E+01	4.8540E-05	919.68
160.00	168.60	6.2740E+01	9.9361E-05	951.83
140.00	160.50	1.3598E+02	2.2621E-04	928.69
120.00	148.80	3.1198E+02	5.5982E-04	894.20
100.00	158.10	7.2721E+02	1.2282E-03	921.72
80.00	143.80	1.6617E+03	3.0855E-03	879.05
60.00	122.60	4.4320E+03	9.6523E-03	811.67
40.00	113.20	1.3760E+04	3.2456E-02	779.93
23.30	122.90	3.5616E+04	7.7378E-02	812.66
17.29	130.00	4.7420E+04	9.7397E-02	835.80
15.95	132.79	5.0663E+04	1.0187E-01	844.72
12.09	140.84	6.0795E+04	1.1526E-01	869.95
8.65	148.04	7.0928E+04	1.2793E-01	891.91
5.53	154.57	8.1060E+04	1.4003E-01	911.37
2.66	160.56	9.1193E+04	1.5165E-01	928.86
0.00	166.10	1.0133E+05	1.6288E-01	944.75
-4.82	176.11	1.2159E+05	1.8435E-01	972.80
-9.12	184.99	1.4186E+05	2.0475E-01	997.03
-13.02	193.00	1.6212E+05	2.2429E-01	1018.38
-16.60	200.31	1.8239E+05	2.4312E-01	1037.49
-19.91	207.06	2.0265E+05	2.6132E-01	1054.82
-23.01	213.32	2.2292E+05	2.7902E-01	1070.65
-25.91	219.19	2.4318E+05	2.9623E-01	1085.28
-28.65	224.71	2.6345E+05	3.1304E-01	1098.86
-31.25	229.92	2.8371E+05	3.2948E-01	1111.53
-33.73	234.87	3.0398E+05	3.4557E-01	1123.43
-36.09	239.59	3.2424E+05	3.6135E-01	1134.66
-38.35	244.09	3.4451E+05	3.7685E-01	1145.27
-40.53	248.40	3.6477E+05	3.9210E-01	1155.33
-42.61	252.55	3.8504E+05	4.0708E-01	1164.95
-44.63	256.53	4.0530E+05	4.2186E-01	1174.09
-46.57	260.38	4.2557E+05	4.3640E-01	1182.87
-48.45	264.09	4.4583E+05	4.5076E-01	1191.26
-50.28	267.68	4.6610E+05	4.6493E-01	1199.33
-52.05	271.16	4.8636E+05	4.7892E-01	1207.10
-53.76	274.54	5.0663E+05	4.9273E-01	1214.60
-61.69	290.10	6.0795E+05	5.5956E-01	1248.55
-68.74	303.88	7.0928E+05	6.2322E-01	1277.86
