# Hgtkm   TotNDm3     H2NDm3     HeNDm3    CH4NDm3   Denskgm3     PresNm2    TempK   Zeta 
 -85.0 5.9664E+26 4.7561E+26 1.1156E+26 9.4739E+24 2.5887E+00  1.3241E+06  159.44 1.0081
 -80.0 5.4341E+26 4.3317E+26 1.0161E+26 8.6254E+24 2.3576E+00  1.1741E+06  155.40 1.0070
 -75.0 4.9521E+26 3.9475E+26 9.2596E+25 7.8572E+24 2.1484E+00  1.0410E+06  151.35 1.0060
 -70.0 4.5158E+26 3.5998E+26 8.4439E+25 7.1620E+24 1.9591E+00  9.2315E+05  147.31 1.0051
 -65.0 4.1208E+26 3.2850E+26 7.7055E+25 6.5328E+24 1.7877E+00  8.1866E+05  143.27 1.0043
 -60.0 3.7633E+26 3.0000E+26 7.0370E+25 5.9633E+24 1.6325E+00  7.2603E+05  139.23 1.0036
 -55.0 3.4245E+26 2.7299E+26 6.4035E+25 5.4239E+24 1.4855E+00  6.3892E+05  134.74 1.0029
 -50.0 3.1136E+26 2.4821E+26 5.8223E+25 4.9290E+24 1.3506E+00  5.6040E+05  130.07 1.0023
 -45.0 2.8298E+26 2.2558E+26 5.2915E+25 4.4773E+24 1.2274E+00  4.9046E+05  125.32 1.0017
 -40.0 2.5475E+26 2.0309E+26 4.7637E+25 4.0285E+24 1.1049E+00  4.2296E+05  120.10 1.0013
 -35.0 2.2984E+26 1.8323E+26 4.2979E+25 3.6324E+24 9.9682E-01  3.6478E+05  114.89 1.0006
 -30.0 2.0777E+26 1.6564E+26 3.8853E+25 3.2817E+24 9.0107E-01  3.1463E+05  109.68 1.0000
 -25.0 1.8607E+26 1.4834E+26 3.4796E+25 2.9371E+24 8.0693E-01  2.6706E+05  103.98  .9997
 -20.0 1.6628E+26 1.3257E+26 3.1096E+25 2.6230E+24 7.2107E-01  2.2499E+05   98.06  .9993
 -15.0 1.4784E+26 1.1786E+26 2.7646E+25 2.3304E+24 6.4104E-01  1.8731E+05   91.87  .9989
 -10.0 1.2955E+26 1.0328E+26 2.4227E+25 2.0406E+24 5.6172E-01  1.5194E+05   85.08  .9984
  -5.0 1.1426E+26 9.1092E+25 2.1367E+25 1.7983E+24 4.9537E-01  1.2326E+05   78.29  .9981
    .0 1.0154E+26 8.0955E+25 1.8990E+25 1.5969E+24 4.4021E-01  1.0001E+05   71.50  .9977
   5.0 8.4246E+25 6.7167E+25 1.5755E+25 1.3238E+24 3.6520E-01  7.7602E+04   66.88  .9976
  10.0 6.9414E+25 5.5343E+25 1.2982E+25 1.0898E+24 3.0089E-01  5.9321E+04   62.05  .9976
  15.0 5.5660E+25 4.4378E+25 1.0410E+25 8.7301E+23 2.4125E-01  4.4439E+04   57.96  .9977
  20.0 4.3030E+25 3.4308E+25 8.0476E+24 6.7425E+23 1.8649E-01  3.2774E+04   55.28  .9980
  25.0 3.2437E+25 2.5862E+25 6.0665E+24 5.0774E+23 1.4057E-01  2.3863E+04   53.37  .9984
  30.0 2.3909E+25 1.9064E+25 4.4717E+24 3.7385E+23 1.0360E-01  1.7201E+04   52.17  .9988
  35.0 1.7372E+25 1.3851E+25 3.2491E+24 2.7132E+23 7.5269E-02  1.2329E+04   51.45  .9991
  40.0 1.2538E+25 9.9976E+24 2.3451E+24 1.9560E+23 5.4321E-02  8.8227E+03   51.00  .9993
  45.0 8.9004E+24 7.0970E+24 1.6647E+24 1.3868E+23 3.8557E-02  6.3024E+03   51.31  .9995
  50.0 6.2598E+24 4.9915E+24 1.1709E+24 9.7405E+22 2.7114E-02  4.5263E+03   52.39  .9997
  55.0 4.4188E+24 3.5236E+24 8.2652E+23 6.8663E+22 1.9138E-02  3.2729E+03   53.66  .9998
  60.0 3.1372E+24 2.5017E+24 5.8682E+23 4.8679E+22 1.3586E-02  2.3874E+03   55.13  .9999
  65.0 2.2332E+24 1.7808E+24 4.1772E+23 3.4599E+22 9.6695E-03  1.7653E+03   57.26  .9999
  70.0 1.5928E+24 1.2702E+24 2.9795E+23 2.4638E+22 6.8958E-03  1.3232E+03   60.17 1.0000
  75.0 1.1379E+24 9.0747E+23 2.1286E+23 1.7573E+22 4.9258E-03  9.9290E+02   63.20 1.0000
  80.0 7.9552E+23 6.3443E+23 1.4882E+23 1.2264E+22 3.4432E-03  7.7174E+02   70.26 1.0000
  85.0 5.6067E+23 4.4716E+23 1.0489E+23 8.6277E+21 2.4264E-03  6.1544E+02   79.50 1.0000
  90.0 4.0128E+23 3.2005E+23 7.5073E+22 6.1631E+21 1.7363E-03  4.9907E+02   90.08 1.0000
  95.0 3.1339E+23 2.4995E+23 5.8631E+22 4.8035E+21 1.3558E-03  4.2132E+02   97.37 1.0000
 100.0 2.4617E+23 1.9634E+23 4.6056E+22 3.7652E+21 1.0648E-03  3.5572E+02  104.66 1.0000
 105.0 1.9433E+23 1.5501E+23 3.6360E+22 2.9658E+21 8.4045E-04  3.0037E+02  111.95 1.0000
 110.0 1.6400E+23 1.3082E+23 3.0686E+22 2.4971E+21 7.0913E-04  2.5894E+02  114.36 1.0000
 115.0 1.3855E+23 1.1052E+23 2.5926E+22 2.1045E+21 5.9899E-04  2.2331E+02  116.73 1.0000
 120.0 1.1769E+23 9.3887E+22 2.2023E+22 1.7831E+21 5.0870E-04  1.9289E+02  118.71 1.0000
 125.0 1.0147E+23 8.0950E+22 1.8988E+22 1.5332E+21 4.3849E-04  1.6745E+02  119.52 1.0000
 130.0 8.7501E+22 6.9808E+22 1.6375E+22 1.3184E+21 3.7803E-04  1.4538E+02  120.34 1.0000
 135.0 7.5467E+22 6.0210E+22 1.4123E+22 1.1337E+21 3.2597E-04  1.2624E+02  121.16 1.0000
 140.0 6.5099E+22 5.1941E+22 1.2184E+22 9.7493E+20 2.8112E-04  1.0963E+02  121.97 1.0000
 145.0 5.5976E+22 4.4664E+22 1.0477E+22 8.3558E+20 2.4166E-04  9.5558E+01  123.65 1.0000
