#   Var_X        DENSLO     DENSAV     DENSHI    DENSTOT   Radius     Rref   Grav LOGSCALE profwgt
   .00000      5.301E+00  5.460E+00  5.624E+00  5.598E+00  2575.50  2575.50 1.353     0     .000
   10.000      3.413E+00  3.584E+00  3.763E+00  3.742E+00  2585.50  2575.50 1.343     0     .000
   20.000      2.031E+00  2.173E+00  2.325E+00  2.247E+00  2595.50  2575.50 1.333     0     .000
   30.000      1.141E+00  1.244E+00  1.355E+00  1.269E+00  2605.50  2575.50 1.322     0     .000
   40.000      6.128E-01  6.802E-01  7.550E-01  8.018E-01  2615.50  2575.50 1.312     0     .000
   50.000      3.199E-01  3.615E-01  4.085E-01  4.396E-01  2625.50  2575.50 1.302     0     .000
   60.000      1.608E-01  1.850E-01  2.127E-01  2.200E-01  2635.50  2575.50 1.293     0     .000
   70.000      7.341E-02  8.401E-02  9.614E-02  9.352E-02  2645.50  2575.50 1.283     0     .000
   80.000      4.283E-02  4.878E-02  5.555E-02  5.203E-02  2655.50  2575.50 1.273     0     .000
   90.000      2.851E-02  3.231E-02  3.662E-02  3.723E-02  2665.50  2575.50 1.264     0     .000
   100.00      2.010E-02  2.267E-02  2.557E-02  2.670E-02  2675.50  2575.50 1.254     0     .000
   110.00      1.462E-02  1.641E-02  1.841E-02  1.713E-02  2685.50  2575.50 1.245     0     .000
   120.00      1.087E-02  1.214E-02  1.355E-02  1.199E-02  2695.50  2575.50 1.236     0     .000
   130.00      8.077E-03  8.975E-03  9.972E-03  9.181E-03  2705.50  2575.50 1.227     0     .000
   140.00      6.181E-03  6.833E-03  7.555E-03  7.350E-03  2715.50  2575.50 1.217     0     .000
   150.00      4.729E-03  5.202E-03  5.723E-03  5.403E-03  2725.50  2575.50 1.209     0     .000
   160.00      3.656E-03  4.021E-03  4.423E-03  4.252E-03  2735.50  2575.50 1.200     0     .000
   170.00      2.840E-03  3.124E-03  3.436E-03  3.250E-03  2745.50  2575.50 1.191     0     .000
   180.00      2.217E-03  2.439E-03  2.682E-03  2.376E-03  2755.50  2575.50 1.182     0     .000
   190.00      1.739E-03  1.913E-03  2.104E-03  1.975E-03  2765.50  2575.50 1.174     0     .000
   200.00      1.370E-03  1.507E-03  1.658E-03  1.584E-03  2775.50  2575.50 1.165     0     .000
   210.00      1.084E-03  1.193E-03  1.312E-03  1.044E-03  2785.50  2575.50 1.157     0     .000
   220.00      8.616E-04  9.478E-04  1.043E-03  8.471E-04  2795.50  2575.50 1.149     0     .000
   230.00      6.874E-04  7.562E-04  8.318E-04  7.191E-04  2805.50  2575.50 1.141     0     .000
   240.00      5.506E-04  6.056E-04  6.662E-04  6.130E-04  2815.50  2575.50 1.133     0     .000
   250.00      4.425E-04  4.868E-04  5.355E-04  5.041E-04  2825.50  2575.50 1.125     0     .000
   260.00      3.569E-04  3.926E-04  4.319E-04  4.201E-04  2835.50  2575.50 1.117     0     .000
   270.00      2.888E-04  3.177E-04  3.494E-04  3.400E-04  2845.50  2575.50 1.109     0     .000
   280.00      2.344E-04  2.578E-04  2.836E-04  2.701E-04  2855.50  2575.50 1.101     0     .000
   290.00      1.907E-04  2.098E-04  2.308E-04  2.283E-04  2865.50  2575.50 1.093     0     .000
   300.00      1.556E-04  1.712E-04  1.883E-04  1.880E-04  2875.50  2575.50 1.086     0     .000
   310.00      1.273E-04  1.401E-04  1.541E-04  1.553E-04  2885.50  2575.50 1.078     0     .000
   320.00      1.044E-04  1.148E-04  1.263E-04  1.213E-04  2895.50  2575.50 1.071     0     .000
   330.00      8.576E-05  9.433E-05  1.038E-04  9.429E-05  2905.50  2575.50 1.063     0     .000
   340.00      7.059E-05  7.764E-05  8.541E-05  7.734E-05  2915.50  2575.50 1.056     0     .000
   350.00      5.820E-05  6.402E-05  7.042E-05  6.502E-05  2925.50  2575.50 1.049     0     .000
   360.00      4.806E-05  5.287E-05  5.815E-05  5.669E-05  2935.50  2575.50 1.042     0     .000
   370.00      3.974E-05  4.371E-05  4.808E-05  4.655E-05  2945.50  2575.50 1.035     0     .000
   380.00      3.288E-05  3.617E-05  3.978E-05  3.795E-05  2955.50  2575.50 1.028     0     .000
   390.00      2.722E-05  2.994E-05  3.293E-05  3.220E-05  2965.50  2575.50 1.021     0     .000
   400.00      2.253E-05  2.478E-05  2.726E-05  2.683E-05  2975.50  2575.50 1.014     0     .000
   410.00      1.865E-05  2.051E-05  2.256E-05  2.179E-05  2985.50  2575.50 1.007     0     .000
   420.00      1.543E-05  1.697E-05  1.866E-05  1.715E-05  2995.50  2575.50 1.001     0     .000
   430.00      1.275E-05  1.402E-05  1.543E-05  1.346E-05  3005.50  2575.50  .994     0     .000
   440.00      1.053E-05  1.158E-05  1.274E-05  1.133E-05  3015.50  2575.50  .987     0     .000
   450.00      8.677E-06  9.545E-06  1.050E-05  9.288E-06  3025.50  2575.50  .981     0     .000
   460.00      7.141E-06  7.855E-06  8.641E-06  7.502E-06  3035.50  2575.50  .974     0     .000
   470.00      5.865E-06  6.452E-06  7.097E-06  6.121E-06  3045.50  2575.50  .968     0     .000
   480.00      4.807E-06  5.288E-06  5.817E-06  5.059E-06  3055.50  2575.50  .962     0     .000
   490.00      3.930E-06  4.323E-06  4.755E-06  4.143E-06  3065.50  2575.50  .955     0     .000
   500.00      3.205E-06  3.525E-06  3.878E-06  3.300E-06  3075.50  2575.50  .949     0     .000
   510.00      2.606E-06  2.866E-06  3.153E-06  2.565E-06  3085.50  2575.50  .943     0     .000
   520.00      2.113E-06  2.324E-06  2.556E-06  1.996E-06  3095.50  2575.50  .937     0     .000
   530.00      1.708E-06  1.879E-06  2.067E-06  1.590E-06  3105.50  2575.50  .931     0     .000
   540.00      1.377E-06  1.514E-06  1.666E-06  1.417E-06  3115.50  2575.50  .925     0     .000
   550.00      1.107E-06  1.217E-06  1.339E-06  1.133E-06  3125.50  2575.50  .919     0     .000
   560.00      8.874E-07  9.762E-07  1.074E-06  8.962E-07  3135.50  2575.50  .913     0     .000
   570.00      7.102E-07  7.812E-07  8.593E-07  7.612E-07  3145.50  2575.50  .907     0     .000
   580.00      5.680E-07  6.248E-07  6.872E-07  6.219E-07  3155.50  2575.50  .902     0     .000
   590.00      4.544E-07  4.998E-07  5.498E-07  4.434E-07  3165.50  2575.50  .896     0     .000
   600.00      3.637E-07  4.001E-07  4.401E-07  3.570E-07  3175.50  2575.50  .890     0     .000
   610.00      2.916E-07  3.207E-07  3.528E-07  2.953E-07  3185.50  2575.50  .885     0     .000
   620.00      2.341E-07  2.576E-07  2.833E-07  2.305E-07  3195.50  2575.50  .879     0     .000
   630.00      1.884E-07  2.073E-07  2.280E-07  1.949E-07  3205.50  2575.50  .874     0     .000
   640.00      1.520E-07  1.672E-07  1.840E-07  1.525E-07  3215.50  2575.50  .868     0     .000
   650.00      1.230E-07  1.353E-07  1.488E-07  1.213E-07  3225.50  2575.50  .863     0     .000
   660.00      9.982E-08  1.098E-07  1.208E-07  9.728E-08  3235.50  2575.50  .858     0     .000
   670.00      8.126E-08  8.939E-08  9.832E-08  7.660E-08  3245.50  2575.50  .852     0     .000
   680.00      6.636E-08  7.300E-08  8.030E-08  5.993E-08  3255.50  2575.50  .847     0     .000
   690.00      5.438E-08  5.982E-08  6.580E-08  5.335E-08  3265.50  2575.50  .842     0     .000
   700.00      4.471E-08  4.918E-08  5.410E-08  4.480E-08  3275.50  2575.50  .837     0     .000
   710.00      3.688E-08  4.057E-08  4.463E-08  3.994E-08  3285.50  2575.50  .832     0     .000
   720.00      3.053E-08  3.358E-08  3.694E-08  3.122E-08  3295.50  2575.50  .827     0     .000
   730.00      2.535E-08  2.789E-08  3.068E-08  2.584E-08  3305.50  2575.50  .822     0     .000
   740.00      2.112E-08  2.323E-08  2.556E-08  2.245E-08  3315.50  2575.50  .817     0     .000
   750.00      1.765E-08  1.942E-08  2.136E-08  1.821E-08  3325.50  2575.50  .812     0     .000
   760.00      1.480E-08  1.628E-08  1.791E-08  1.594E-08  3335.50  2575.50  .807     0     .000
   770.00      1.244E-08  1.369E-08  1.506E-08  1.410E-08  3345.50  2575.50  .802     0     .000
   780.00      1.049E-08  1.154E-08  1.270E-08  1.215E-08  3355.50  2575.50  .797     0     .000
   790.00      8.874E-09  9.761E-09  1.074E-08  1.066E-08  3365.50  2575.50  .793     0     .000
   800.00      7.524E-09  8.276E-09  9.104E-09  8.868E-09  3375.50  2575.50  .788     0     .000
   810.00      6.397E-09  7.037E-09  7.740E-09  7.146E-09  3385.50  2575.50  .783     0     .000
   820.00      5.452E-09  5.998E-09  6.597E-09  6.446E-09  3395.50  2575.50  .779     0     .000
   830.00      4.658E-09  5.124E-09  5.637E-09  5.530E-09  3405.50  2575.50  .774     0     .000
   840.00      3.989E-09  4.388E-09  4.827E-09  4.939E-09  3415.50  2575.50  .770     0     .000
   850.00      3.424E-09  3.766E-09  4.143E-09  4.236E-09  3425.50  2575.50  .765     0     .000
   860.00      2.945E-09  3.240E-09  3.563E-09  3.502E-09  3435.50  2575.50  .761     0     .000
   870.00      2.538E-09  2.792E-09  3.071E-09  2.959E-09  3445.50  2575.50  .756     0     .000
   880.00      2.192E-09  2.411E-09  2.652E-09  2.532E-09  3455.50  2575.50  .752     0     .000
   890.00      1.897E-09  2.086E-09  2.295E-09  2.286E-09  3465.50  2575.50  .748     0     .000
   900.00      1.644E-09  1.808E-09  1.989E-09  1.993E-09  3475.50  2575.50  .743     0     .000
   910.00      1.427E-09  1.570E-09  1.727E-09  1.745E-09  3485.50  2575.50  .739     0     .000
   920.00      1.241E-09  1.365E-09  1.502E-09  1.501E-09  3495.50  2575.50  .735     0     .000
   930.00      1.081E-09  1.189E-09  1.308E-09  1.290E-09  3505.50  2575.50  .731     0     .000
   940.00      9.421E-10  1.036E-09  1.140E-09  1.135E-09  3515.50  2575.50  .726     0     .000
   950.00      8.219E-10  9.041E-10  9.945E-10  9.733E-10  3525.50  2575.50  .722     0     .000
   960.00      7.176E-10  7.894E-10  8.683E-10  8.428E-10  3535.50  2575.50  .718     0     .000
   970.00      6.271E-10  6.898E-10  7.587E-10  7.585E-10  3545.50  2575.50  .714     0     .000
   980.00      5.484E-10  6.032E-10  6.635E-10  6.676E-10  3555.50  2575.50  .710     0     .000
   990.00      4.799E-10  5.279E-10  5.807E-10  5.808E-10  3565.50  2575.50  .706     0     .000
   1000.0      4.204E-10  4.624E-10  5.087E-10  5.244E-10  3575.50  2575.50  .702     0     .000
   1010.0      3.685E-10  4.054E-10  4.459E-10  4.749E-10  3585.50  2575.50  .698     0     .000
   1020.0      3.233E-10  3.556E-10  3.912E-10  4.136E-10  3595.50  2575.50  .694     0     .000
   1030.0      2.839E-10  3.123E-10  3.435E-10  3.596E-10  3605.50  2575.50  .691     0     .000
   1040.0      2.494E-10  2.744E-10  3.018E-10  3.131E-10  3615.50  2575.50  .687     0     .000
   1050.0      2.193E-10  2.413E-10  2.654E-10  2.823E-10  3625.50  2575.50  .683     0     .000
   1060.0      1.930E-10  2.123E-10  2.335E-10  2.402E-10  3635.50  2575.50  .679     0     .000
   1070.0      1.700E-10  1.870E-10  2.057E-10  2.142E-10  3645.50  2575.50  .675     0     .000
   1080.0      1.498E-10  1.648E-10  1.813E-10  1.913E-10  3655.50  2575.50  .672     0     .000
   1090.0      1.321E-10  1.454E-10  1.599E-10  1.699E-10  3665.50  2575.50  .668     0     .000
   1100.0      1.166E-10  1.283E-10  1.411E-10  1.485E-10  3675.50  2575.50  .665     0     .000
   1110.0      1.030E-10  1.133E-10  1.247E-10  1.364E-10  3685.50  2575.50  .661     0     .000
   1120.0      9.109E-11  1.002E-10  1.102E-10  1.233E-10  3695.50  2575.50  .657     0     .000
   1130.0      8.058E-11  8.864E-11  9.750E-11  1.064E-10  3705.50  2575.50  .654     0     .000
   1140.0      7.134E-11  7.847E-11  8.632E-11  9.690E-11  3715.50  2575.50  .650     0     .000
   1150.0      6.320E-11  6.953E-11  7.648E-11  8.681E-11  3725.50  2575.50  .647     0     .000
   1160.0      5.604E-11  6.164E-11  6.781E-11  7.566E-11  3735.50  2575.50  .643     0     .000
   1170.0      4.972E-11  5.469E-11  6.016E-11  6.764E-11  3745.50  2575.50  .640     0     .000
   1180.0      4.415E-11  4.856E-11  5.342E-11  5.859E-11  3755.50  2575.50  .637     0     .000
   1190.0      3.923E-11  4.315E-11  4.746E-11  5.251E-11  3765.50  2575.50  .633     0     .000
   1200.0      3.488E-11  3.837E-11  4.221E-11  4.630E-11  3775.50  2575.50  .630     0     .000
   1210.0      3.104E-11  3.414E-11  3.756E-11  4.219E-11  3785.50  2575.50  .626     0     .000
   1220.0      2.764E-11  3.040E-11  3.344E-11  3.680E-11  3795.50  2575.50  .623     0     .000
   1230.0      2.463E-11  2.709E-11  2.980E-11  3.284E-11  3805.50  2575.50  .620     0     .000
   1240.0      2.196E-11  2.416E-11  2.657E-11  2.905E-11  3815.50  2575.50  .617     0     .000
   1250.0      1.960E-11  2.156E-11  2.371E-11  2.566E-11  3825.50  2575.50  .613     0     .000
   1260.0      1.750E-11  1.925E-11  2.118E-11  2.253E-11  3835.50  2575.50  .610     0     .000
   1270.0      1.564E-11  1.720E-11  1.892E-11  2.078E-11  3845.50  2575.50  .607     0     .000
   1280.0      1.399E-11  1.538E-11  1.692E-11  1.837E-11  3855.50  2575.50  .604     0     .000
