#   Var_X        DENSLO     DENSAV     DENSHI    DENSTOT   Radius     Rref   Grav LOGSCALE profwgt
   .00000      5.156E+00  5.310E+00  5.470E+00  5.444E+00  2575.50  2575.50 1.353     0     .000
   10.000      3.343E+00  3.510E+00  3.686E+00  3.664E+00  2585.50  2575.50 1.343     0     .000
   20.000      1.976E+00  2.114E+00  2.262E+00  2.185E+00  2595.50  2575.50 1.333     0     .000
   30.000      1.101E+00  1.200E+00  1.308E+00  1.224E+00  2605.50  2575.50 1.322     0     .000
   40.000      5.867E-01  6.513E-01  7.229E-01  7.677E-01  2615.50  2575.50 1.312     0     .000
   50.000      3.054E-01  3.451E-01  3.899E-01  4.196E-01  2625.50  2575.50 1.302     0     .000
   60.000      1.519E-01  1.747E-01  2.008E-01  2.078E-01  2635.50  2575.50 1.293     0     .000
   70.000      6.799E-02  7.781E-02  8.905E-02  8.662E-02  2645.50  2575.50 1.283     0     .000
   80.000      3.919E-02  4.463E-02  5.083E-02  4.760E-02  2655.50  2575.50 1.273     0     .000
   90.000      2.585E-02  2.930E-02  3.320E-02  3.376E-02  2665.50  2575.50 1.264     0     .000
   100.00      1.809E-02  2.040E-02  2.300E-02  2.402E-02  2675.50  2575.50 1.254     0     .000
   110.00      1.305E-02  1.465E-02  1.644E-02  1.529E-02  2685.50  2575.50 1.245     0     .000
   120.00      9.632E-03  1.076E-02  1.201E-02  1.062E-02  2695.50  2575.50 1.236     0     .000
   130.00      7.101E-03  7.890E-03  8.767E-03  8.072E-03  2705.50  2575.50 1.227     0     .000
   140.00      5.394E-03  5.963E-03  6.592E-03  6.413E-03  2715.50  2575.50 1.217     0     .000
   150.00      4.095E-03  4.504E-03  4.954E-03  4.677E-03  2725.50  2575.50 1.209     0     .000
   160.00      3.143E-03  3.458E-03  3.803E-03  3.656E-03  2735.50  2575.50 1.200     0     .000
   170.00      2.425E-03  2.667E-03  2.934E-03  2.774E-03  2745.50  2575.50 1.191     0     .000
   180.00      1.879E-03  2.067E-03  2.274E-03  2.014E-03  2755.50  2575.50 1.182     0     .000
   190.00      1.463E-03  1.609E-03  1.770E-03  1.662E-03  2765.50  2575.50 1.174     0     .000
   200.00      1.144E-03  1.259E-03  1.384E-03  1.323E-03  2775.50  2575.50 1.165     0     .000
   210.00      8.986E-04  9.885E-04  1.087E-03  8.655E-04  2785.50  2575.50 1.157     0     .000
   220.00      7.086E-04  7.795E-04  8.574E-04  6.967E-04  2795.50  2575.50 1.149     0     .000
   230.00      5.610E-04  6.171E-04  6.788E-04  5.868E-04  2805.50  2575.50 1.141     0     .000
   240.00      4.457E-04  4.903E-04  5.393E-04  4.963E-04  2815.50  2575.50 1.133     0     .000
   250.00      3.554E-04  3.909E-04  4.300E-04  4.048E-04  2825.50  2575.50 1.125     0     .000
   260.00      2.843E-04  3.127E-04  3.440E-04  3.347E-04  2835.50  2575.50 1.117     0     .000
   270.00      2.281E-04  2.509E-04  2.760E-04  2.686E-04  2845.50  2575.50 1.109     0     .000
   280.00      1.836E-04  2.019E-04  2.221E-04  2.116E-04  2855.50  2575.50 1.101     0     .000
   290.00      1.481E-04  1.630E-04  1.792E-04  1.773E-04  2865.50  2575.50 1.093     0     .000
