#    Var_X        DENSLO     DENSAV     DENSHI    DENSTOT   Radius     Rref   Grav LOGSCALE profwgt
   .00000      5.194E+00  5.350E+00  5.510E+00  5.322E+00  2575.50  2575.50 1.353     0     .000
   10.000      3.359E+00  3.527E+00  3.704E+00  3.612E+00  2585.50  2575.50 1.343     0     .000
   20.000      1.989E+00  2.128E+00  2.277E+00  2.197E+00  2595.50  2575.50 1.333     0     .000
   30.000      1.110E+00  1.210E+00  1.319E+00  1.219E+00  2605.50  2575.50 1.322     0     .000
   40.000      5.930E-01  6.583E-01  7.307E-01  6.484E-01  2615.50  2575.50 1.312     0     .000
   50.000      3.089E-01  3.491E-01  3.945E-01  3.658E-01  2625.50  2575.50 1.302     0     .000
   60.000      1.541E-01  1.772E-01  2.038E-01  1.746E-01  2635.50  2575.50 1.293     0     .000
   70.000      6.932E-02  7.934E-02  9.080E-02  7.999E-02  2645.50  2575.50 1.283     0     .000
   80.000      4.009E-02  4.566E-02  5.200E-02  4.629E-02  2655.50  2575.50 1.273     0     .000
   90.000      2.651E-02  3.004E-02  3.405E-02  3.148E-02  2665.50  2575.50 1.264     0     .000
   100.00      1.858E-02  2.096E-02  2.364E-02  2.287E-02  2675.50  2575.50 1.254     0     .000
   110.00      1.344E-02  1.508E-02  1.693E-02  1.608E-02  2685.50  2575.50 1.245     0     .000
   120.00      9.936E-03  1.110E-02  1.239E-02  1.233E-02  2695.50  2575.50 1.236     0     .000
   130.00      7.341E-03  8.157E-03  9.063E-03  9.530E-03  2705.50  2575.50 1.227     0     .000
   140.00      5.587E-03  6.177E-03  6.829E-03  6.655E-03  2715.50  2575.50 1.217     0     .000
   150.00      4.250E-03  4.675E-03  5.143E-03  5.013E-03  2725.50  2575.50 1.209     0     .000
   160.00      3.269E-03  3.595E-03  3.955E-03  3.840E-03  2735.50  2575.50 1.200     0     .000
   170.00      2.526E-03  2.779E-03  3.056E-03  2.890E-03  2745.50  2575.50 1.191     0     .000
   180.00      1.961E-03  2.158E-03  2.373E-03  2.306E-03  2755.50  2575.50 1.182     0     .000
   190.00      1.530E-03  1.683E-03  1.851E-03  1.793E-03  2765.50  2575.50 1.174     0     .000
   200.00      1.199E-03  1.319E-03  1.451E-03  1.349E-03  2775.50  2575.50 1.165     0     .000
   210.00      9.435E-04  1.038E-03  1.142E-03  1.061E-03  2785.50  2575.50 1.157     0     .000
   220.00      7.456E-04  8.201E-04  9.022E-04  8.089E-04  2795.50  2575.50 1.149     0     .000
   230.00      5.915E-04  6.506E-04  7.157E-04  6.334E-04  2805.50  2575.50 1.141     0     .000
   240.00      4.710E-04  5.181E-04  5.699E-04  4.891E-04  2815.50  2575.50 1.133     0     .000
   250.00      3.763E-04  4.140E-04  4.554E-04  3.844E-04  2825.50  2575.50 1.125     0     .000
   260.00      3.017E-04  3.319E-04  3.651E-04  3.222E-04  2835.50  2575.50 1.117     0     .000
   270.00      2.427E-04  2.669E-04  2.936E-04  2.494E-04  2845.50  2575.50 1.109     0     .000
   280.00      1.957E-04  2.153E-04  2.368E-04  1.954E-04  2855.50  2575.50 1.101     0     .000
   290.00      1.583E-04  1.741E-04  1.915E-04  1.731E-04  2865.50  2575.50 1.093     0     .000
   300.00      1.284E-04  1.412E-04  1.553E-04  1.442E-04  2875.50  2575.50 1.086     0     .000
   310.00      1.043E-04  1.147E-04  1.262E-04  1.274E-04  2885.50  2575.50 1.078     0     .000
   320.00      8.496E-05  9.346E-05  1.028E-04  1.007E-04  2895.50  2575.50 1.071     0     .000
   330.00      6.933E-05  7.626E-05  8.389E-05  8.276E-05  2905.50  2575.50 1.063     0     .000
   340.00      5.667E-05  6.234E-05  6.858E-05  7.209E-05  2915.50  2575.50 1.056     0     .000
   350.00      4.640E-05  5.104E-05  5.614E-05  5.896E-05  2925.50  2575.50 1.049     0     .000
   360.00      3.801E-05  4.181E-05  4.599E-05  4.976E-05  2935.50  2575.50 1.042     0     .000
   370.00      3.116E-05  3.428E-05  3.771E-05  4.017E-05  2945.50  2575.50 1.035     0     .000
   380.00      2.557E-05  2.813E-05  3.094E-05  3.262E-05  2955.50  2575.50 1.028     0     .000
   390.00      2.099E-05  2.309E-05  2.540E-05  2.656E-05  2965.50  2575.50 1.021     0     .000
   400.00      1.723E-05  1.895E-05  2.084E-05  2.109E-05  2975.50  2575.50 1.014     0     .000
   410.00      1.413E-05  1.555E-05  1.710E-05  1.715E-05  2985.50  2575.50 1.007     0     .000
   420.00      1.159E-05  1.275E-05  1.402E-05  1.439E-05  2995.50  2575.50 1.001     0     .000
   430.00      9.489E-06  1.044E-05  1.148E-05  1.150E-05  3005.50  2575.50  .994     0     .000
   440.00      7.761E-06  8.538E-06  9.391E-06  9.096E-06  3015.50  2575.50  .987     0     .000
   450.00      6.337E-06  6.971E-06  7.668E-06  7.892E-06  3025.50  2575.50  .981     0     .000
   460.00      5.164E-06  5.680E-06  6.248E-06  6.155E-06  3035.50  2575.50  .974     0     .000
   470.00      4.198E-06  4.618E-06  5.080E-06  5.266E-06  3045.50  2575.50  .968     0     .000
   480.00      3.405E-06  3.745E-06  4.120E-06  4.063E-06  3055.50  2575.50  .962     0     .000
   490.00      2.753E-06  3.029E-06  3.331E-06  3.251E-06  3065.50  2575.50  .955     0     .000
   500.00      2.220E-06  2.442E-06  2.686E-06  2.552E-06  3075.50  2575.50  .949     0     .000
   510.00      1.784E-06  1.962E-06  2.159E-06  2.228E-06  3085.50  2575.50  .943     0     .000
   520.00      1.429E-06  1.572E-06  1.729E-06  1.862E-06  3095.50  2575.50  .937     0     .000
   530.00      1.141E-06  1.255E-06  1.381E-06  1.442E-06  3105.50  2575.50  .931     0     .000
   540.00      9.079E-07  9.987E-07  1.099E-06  1.255E-06  3115.50  2575.50  .925     0     .000
   550.00      7.203E-07  7.923E-07  8.715E-07  9.852E-07  3125.50  2575.50  .919     0     .000
   560.00      5.699E-07  6.269E-07  6.896E-07  7.537E-07  3135.50  2575.50  .913     0     .000
   570.00      4.499E-07  4.949E-07  5.444E-07  5.783E-07  3145.50  2575.50  .907     0     .000
   580.00      3.550E-07  3.905E-07  4.295E-07  4.639E-07  3155.50  2575.50  .902     0     .000
   590.00      2.802E-07  3.082E-07  3.390E-07  3.445E-07  3165.50  2575.50  .896     0     .000
   600.00      2.213E-07  2.435E-07  2.678E-07  2.630E-07  3175.50  2575.50  .890     0     .000
   610.00      1.751E-07  1.926E-07  2.119E-07  1.998E-07  3185.50  2575.50  .885     0     .000
   620.00      1.388E-07  1.527E-07  1.680E-07  1.601E-07  3195.50  2575.50  .879     0     .000
   630.00      1.103E-07  1.213E-07  1.335E-07  1.228E-07  3205.50  2575.50  .874     0     .000
   640.00      8.790E-08  9.670E-08  1.064E-07  9.791E-08  3215.50  2575.50  .868     0     .000
   650.00      7.027E-08  7.730E-08  8.503E-08  7.539E-08  3225.50  2575.50  .863     0     .000
   660.00      5.636E-08  6.200E-08  6.820E-08  6.613E-08  3235.50  2575.50  .858     0     .000
   670.00      4.537E-08  4.990E-08  5.490E-08  5.284E-08  3245.50  2575.50  .852     0     .000
   680.00      3.665E-08  4.031E-08  4.434E-08  4.208E-08  3255.50  2575.50  .847     0     .000
   690.00      2.971E-08  3.268E-08  3.595E-08  3.531E-08  3265.50  2575.50  .842     0     .000
   700.00      2.418E-08  2.660E-08  2.926E-08  2.810E-08  3275.50  2575.50  .837     0     .000
