    Var_X        DENSLO     DENSAV     DENSHI    DENSTOT   Radius     Rref   Grav LOGSCALE profwgt
   .00000      5.178E+00  5.333E+00  5.493E+00  5.435E+00  2575.50  2575.50 1.353     0     .000
   10.000      3.352E+00  3.520E+00  3.696E+00  3.474E+00  2585.50  2575.50 1.343     0     .000
   20.000      1.983E+00  2.122E+00  2.271E+00  2.103E+00  2595.50  2575.50 1.333     0     .000
   30.000      1.106E+00  1.206E+00  1.314E+00  1.268E+00  2605.50  2575.50 1.322     0     .000
   40.000      5.903E-01  6.553E-01  7.273E-01  7.873E-01  2615.50  2575.50 1.312     0     .000
   50.000      3.074E-01  3.474E-01  3.925E-01  4.130E-01  2625.50  2575.50 1.302     0     .000
   60.000      1.531E-01  1.761E-01  2.025E-01  1.986E-01  2635.50  2575.50 1.293     0     .000
   70.000      6.875E-02  7.868E-02  9.004E-02  7.557E-02  2645.50  2575.50 1.283     0     .000
   80.000      3.970E-02  4.522E-02  5.150E-02  4.032E-02  2655.50  2575.50 1.273     0     .000
   90.000      2.623E-02  2.972E-02  3.368E-02  3.156E-02  2665.50  2575.50 1.264     0     .000
   100.00      1.837E-02  2.072E-02  2.336E-02  2.143E-02  2675.50  2575.50 1.254     0     .000
   110.00      1.327E-02  1.490E-02  1.672E-02  1.637E-02  2685.50  2575.50 1.245     0     .000
   120.00      9.805E-03  1.095E-02  1.223E-02  1.097E-02  2695.50  2575.50 1.236     0     .000
   130.00      7.237E-03  8.042E-03  8.935E-03  9.078E-03  2705.50  2575.50 1.227     0     .000
   140.00      5.503E-03  6.084E-03  6.727E-03  6.563E-03  2715.50  2575.50 1.218     0     .000
   150.00      4.183E-03  4.601E-03  5.061E-03  4.773E-03  2725.50  2575.50 1.209     0     .000
   160.00      3.214E-03  3.536E-03  3.889E-03  3.687E-03  2735.50  2575.50 1.200     0     .000
   170.00      2.482E-03  2.730E-03  3.003E-03  2.783E-03  2745.50  2575.50 1.191     0     .000
   180.00      1.926E-03  2.118E-03  2.330E-03  2.113E-03  2755.50  2575.50 1.182     0     .000
   190.00      1.501E-03  1.651E-03  1.816E-03  1.642E-03  2765.50  2575.50 1.174     0     .000
   200.00      1.175E-03  1.293E-03  1.422E-03  1.355E-03  2775.50  2575.50 1.165     0     .000
   210.00      9.241E-04  1.016E-03  1.118E-03  1.043E-03  2785.50  2575.50 1.157     0     .000
   220.00      7.296E-04  8.025E-04  8.828E-04  8.548E-04  2795.50  2575.50 1.149     0     .000
   230.00      5.782E-04  6.361E-04  6.997E-04  6.851E-04  2805.50  2575.50 1.141     0     .000
   240.00      4.600E-04  5.060E-04  5.566E-04  5.002E-04  2815.50  2575.50 1.133     0     .000
   250.00      3.672E-04  4.040E-04  4.444E-04  3.813E-04  2825.50  2575.50 1.125     0     .000
   260.00      2.942E-04  3.236E-04  3.559E-04  3.017E-04  2835.50  2575.50 1.117     0     .000
   270.00      2.363E-04  2.600E-04  2.860E-04  2.333E-04  2845.50  2575.50 1.109     0     .000
   280.00      1.904E-04  2.095E-04  2.304E-04  1.913E-04  2855.50  2575.50 1.101     0     .000
   290.00      1.539E-04  1.693E-04  1.862E-04  1.628E-04  2865.50  2575.50 1.093     0     .000
   300.00      1.246E-04  1.371E-04  1.508E-04  1.330E-04  2875.50  2575.50 1.086     0     .000
   310.00      1.012E-04  1.113E-04  1.224E-04  1.048E-04  2885.50  2575.50 1.078     0     .000
   320.00      8.233E-05  9.056E-05  9.962E-05  8.589E-05  2895.50  2575.50 1.071     0     .000
   330.00      6.711E-05  7.382E-05  8.120E-05  6.518E-05  2905.50  2575.50 1.063     0     .000
   340.00      5.480E-05  6.028E-05  6.631E-05  5.552E-05  2915.50  2575.50 1.056     0     .000
   350.00      4.481E-05  4.930E-05  5.422E-05  4.844E-05  2925.50  2575.50 1.049     0     .000
   360.00      3.666E-05  4.032E-05  4.436E-05  4.074E-05  2935.50  2575.50 1.042     0     .000
   370.00      3.002E-05  3.302E-05  3.632E-05  3.396E-05  2945.50  2575.50 1.035     0     .000
   380.00      2.460E-05  2.706E-05  2.976E-05  2.957E-05  2955.50  2575.50 1.028     0     .000
   390.00      2.016E-05  2.218E-05  2.439E-05  2.467E-05  2965.50  2575.50 1.021     0     .000
   400.00      1.652E-05  1.818E-05  1.999E-05  1.990E-05  2975.50  2575.50 1.014     0     .000
   410.00      1.354E-05  1.489E-05  1.638E-05  1.656E-05  2985.50  2575.50 1.007     0     .000
   420.00      1.108E-05  1.219E-05  1.341E-05  1.357E-05  2995.50  2575.50 1.001     0     .000
   430.00      9.063E-06  9.970E-06  1.097E-05  1.115E-05  3005.50  2575.50  .994     0     .000
   440.00      7.402E-06  8.142E-06  8.956E-06  8.578E-06  3015.50  2575.50  .987     0     .000
   450.00      6.034E-06  6.637E-06  7.301E-06  7.137E-06  3025.50  2575.50  .981     0     .000
   460.00      4.909E-06  5.400E-06  5.940E-06  6.132E-06  3035.50  2575.50  .974     0     .000
   470.00      3.984E-06  4.383E-06  4.821E-06  5.217E-06  3045.50  2575.50  .968     0     .000
   480.00      3.226E-06  3.548E-06  3.903E-06  4.162E-06  3055.50  2575.50  .962     0     .000
   490.00      2.604E-06  2.864E-06  3.151E-06  3.147E-06  3065.50  2575.50  .955     0     .000
   500.00      2.095E-06  2.305E-06  2.536E-06  2.440E-06  3075.50  2575.50  .949     0     .000
   510.00      1.681E-06  1.849E-06  2.034E-06  1.892E-06  3085.50  2575.50  .943     0     .000
   520.00      1.344E-06  1.478E-06  1.626E-06  1.520E-06  3095.50  2575.50  .937     0     .000
   530.00      1.071E-06  1.178E-06  1.295E-06  1.247E-06  3105.50  2575.50  .931     0     .000
   540.00      8.502E-07  9.352E-07  1.029E-06  1.028E-06  3115.50  2575.50  .925     0     .000
   550.00      6.730E-07  7.403E-07  8.144E-07  7.937E-07  3125.50  2575.50  .919     0     .000
   560.00      5.313E-07  5.845E-07  6.429E-07  5.955E-07  3135.50  2575.50  .913     0     .000
   570.00      4.185E-07  4.604E-07  5.064E-07  4.397E-07  3145.50  2575.50  .907     0     .000
   580.00      3.295E-07  3.624E-07  3.987E-07  3.521E-07  3155.50  2575.50  .902     0     .000
   590.00      2.595E-07  2.854E-07  3.140E-07  2.885E-07  3165.50  2575.50  .896     0     .000
   600.00      2.045E-07  2.250E-07  2.475E-07  2.250E-07  3175.50  2575.50  .890     0     .000
   610.00      1.615E-07  1.776E-07  1.954E-07  1.787E-07  3185.50  2575.50  .885     0     .000
   620.00      1.277E-07  1.405E-07  1.545E-07  1.402E-07  3195.50  2575.50  .879     0     .000
   630.00      1.013E-07  1.114E-07  1.226E-07  1.057E-07  3205.50  2575.50  .874     0     .000
   640.00      8.055E-08  8.861E-08  9.747E-08  8.251E-08  3215.50  2575.50  .868     0     .000
   650.00      6.427E-08  7.070E-08  7.777E-08  6.904E-08  3225.50  2575.50  .863     0     .000
   660.00      5.145E-08  5.660E-08  6.226E-08  5.683E-08  3235.50  2575.50  .858     0     .000
   670.00      4.134E-08  4.547E-08  5.002E-08  4.447E-08  3245.50  2575.50  .852     0     .000
   680.00      3.333E-08  3.666E-08  4.033E-08  3.697E-08  3255.50  2575.50  .847     0     .000
   690.00      2.697E-08  2.967E-08  3.264E-08  2.913E-08  3265.50  2575.50  .842     0     .000
   700.00      2.191E-08  2.411E-08  2.652E-08  2.392E-08  3275.50  2575.50  .837     0     .000
   710.00      1.787E-08  1.965E-08  2.162E-08  2.024E-08  3285.50  2575.50  .832     0     .000
   720.00      1.462E-08  1.609E-08  1.769E-08  1.628E-08  3295.50  2575.50  .827     0     .000
   730.00      1.201E-08  1.321E-08  1.453E-08  1.406E-08  3305.50  2575.50  .822     0     .000
   740.00      9.901E-09  1.089E-08  1.198E-08  1.086E-08  3315.50  2575.50  .817     0     .000
   750.00      8.190E-09  9.009E-09  9.910E-09  8.864E-09  3325.50  2575.50  .812     0     .000
   760.00      6.798E-09  7.478E-09  8.226E-09  7.715E-09  3335.50  2575.50  .807     0     .000
   770.00      5.661E-09  6.227E-09  6.850E-09  6.473E-09  3345.50  2575.50  .802     0     .000
   780.00      4.729E-09  5.202E-09  5.722E-09  5.589E-09  3355.50  2575.50  .797     0     .000
   790.00      3.963E-09  4.359E-09  4.795E-09  4.692E-09  3365.50  2575.50  .793     0     .000
   800.00      3.330E-09  3.663E-09  4.029E-09  4.045E-09  3375.50  2575.50  .788     0     .000
   810.00      2.806E-09  3.087E-09  3.396E-09  3.289E-09  3385.50  2575.50  .783     0     .000
   820.00      2.372E-09  2.609E-09  2.870E-09  2.671E-09  3395.50  2575.50  .779     0     .000
   830.00      2.009E-09  2.210E-09  2.431E-09  2.129E-09  3405.50  2575.50  .774     0     .000
   840.00      1.707E-09  1.878E-09  2.065E-09  1.750E-09  3415.50  2575.50  .770     0     .000
   850.00      1.453E-09  1.599E-09  1.758E-09  1.470E-09  3425.50  2575.50  .765     0     .000
   860.00      1.240E-09  1.364E-09  1.501E-09  1.239E-09  3435.50  2575.50  .761     0     .000
   870.00      1.061E-09  1.167E-09  1.283E-09  1.071E-09  3445.50  2575.50  .756     0     .000
   880.00      9.091E-10  1.000E-09  1.100E-09  9.160E-10  3455.50  2575.50  .752     0     .000
   890.00      7.806E-10  8.587E-10  9.446E-10  7.860E-10  3465.50  2575.50  .748     0     .000
   900.00      6.716E-10  7.388E-10  8.127E-10  7.249E-10  3475.50  2575.50  .743     0     .000
   910.00      5.789E-10  6.368E-10  7.004E-10  6.123E-10  3485.50  2575.50  .739     0     .000
   920.00      4.998E-10  5.498E-10  6.047E-10  5.317E-10  3495.50  2575.50  .735     0     .000
