    Var_X        DENSLO     DENSAV     DENSHI    DENSTOT   Radius     Rref   Grav LOGSCALE profwgt
   .00000      5.236E+00  5.393E+00  5.555E+00  5.530E+00  2575.50  2575.50 1.353     0     .000
   10.000      3.377E+00  3.546E+00  3.723E+00  3.702E+00  2585.50  2575.50 1.343     0     .000
   20.000      2.003E+00  2.143E+00  2.293E+00  2.216E+00  2595.50  2575.50 1.333     0     .000
   30.000      1.121E+00  1.222E+00  1.332E+00  1.246E+00  2605.50  2575.50 1.323     0     .000
   40.000      5.999E-01  6.659E-01  7.391E-01  7.849E-01  2615.50  2575.50 1.312     0     .000
   50.000      3.128E-01  3.534E-01  3.994E-01  4.298E-01  2625.50  2575.50 1.302     0     .000
   60.000      1.565E-01  1.799E-01  2.069E-01  2.141E-01  2635.50  2575.50 1.293     0     .000
   70.000      7.080E-02  8.102E-02  9.273E-02  9.020E-02  2645.50  2575.50 1.283     0     .000
   80.000      4.108E-02  4.679E-02  5.329E-02  4.991E-02  2655.50  2575.50 1.273     0     .000
   90.000      2.724E-02  3.087E-02  3.498E-02  3.557E-02  2665.50  2575.50 1.264     0     .000
   100.00      1.914E-02  2.158E-02  2.434E-02  2.541E-02  2675.50  2575.50 1.254     0     .000
   110.00      1.387E-02  1.557E-02  1.747E-02  1.625E-02  2685.50  2575.50 1.245     0     .000
   120.00      1.028E-02  1.148E-02  1.281E-02  1.133E-02  2695.50  2575.50 1.236     0     .000
   130.00      7.610E-03  8.455E-03  9.395E-03  8.650E-03  2705.50  2575.50 1.227     0     .000
   140.00      5.804E-03  6.416E-03  7.093E-03  6.901E-03  2715.50  2575.50 1.218     0     .000
   150.00      4.425E-03  4.867E-03  5.354E-03  5.055E-03  2725.50  2575.50 1.209     0     .000
   160.00      3.410E-03  3.751E-03  4.126E-03  3.965E-03  2735.50  2575.50 1.200     0     .000
   170.00      2.640E-03  2.904E-03  3.195E-03  3.021E-03  2745.50  2575.50 1.191     0     .000
   180.00      2.054E-03  2.260E-03  2.486E-03  2.201E-03  2755.50  2575.50 1.182     0     .000
   190.00      1.606E-03  1.766E-03  1.943E-03  1.824E-03  2765.50  2575.50 1.174     0     .000
   200.00      1.261E-03  1.387E-03  1.526E-03  1.458E-03  2775.50  2575.50 1.165     0     .000
   210.00      9.946E-04  1.094E-03  1.203E-03  9.579E-04  2785.50  2575.50 1.157     0     .000
   220.00      7.877E-04  8.664E-04  9.531E-04  7.744E-04  2795.50  2575.50 1.149     0     .000
   230.00      6.263E-04  6.889E-04  7.578E-04  6.551E-04  2805.50  2575.50 1.141     0     .000
   240.00      4.998E-04  5.498E-04  6.048E-04  5.565E-04  2815.50  2575.50 1.133     0     .000
   250.00      4.003E-04  4.404E-04  4.844E-04  4.560E-04  2825.50  2575.50 1.125     0     .000
   260.00      3.217E-04  3.539E-04  3.893E-04  3.787E-04  2835.50  2575.50 1.117     0     .000
   270.00      2.594E-04  2.853E-04  3.138E-04  3.053E-04  2845.50  2575.50 1.109     0     .000
   280.00      2.097E-04  2.307E-04  2.538E-04  2.417E-04  2855.50  2575.50 1.101     0     .000
   290.00      1.700E-04  1.871E-04  2.058E-04  2.035E-04  2865.50  2575.50 1.093     0     .000
   300.00      1.382E-04  1.521E-04  1.673E-04  1.669E-04  2875.50  2575.50 1.086     0     .000
   310.00      1.126E-04  1.239E-04  1.363E-04  1.374E-04  2885.50  2575.50 1.078     0     .000
   320.00      9.199E-05  1.012E-04  1.113E-04  1.069E-04  2895.50  2575.50 1.071     0     .000
   330.00      7.527E-05  8.280E-05  9.108E-05  8.276E-05  2905.50  2575.50 1.064     0     .000
   340.00      6.170E-05  6.787E-05  7.466E-05  6.760E-05  2915.50  2575.50 1.056     0     .000
   350.00      5.066E-05  5.573E-05  6.130E-05  5.660E-05  2925.50  2575.50 1.049     0     .000
   360.00      4.164E-05  4.580E-05  5.038E-05  4.911E-05  2935.50  2575.50 1.042     0     .000
   370.00      3.425E-05  3.768E-05  4.145E-05  4.013E-05  2945.50  2575.50 1.035     0     .000
   380.00      2.820E-05  3.102E-05  3.413E-05  3.255E-05  2955.50  2575.50 1.028     0     .000
   390.00      2.323E-05  2.555E-05  2.811E-05  2.748E-05  2965.50  2575.50 1.021     0     .000
   400.00      1.913E-05  2.105E-05  2.315E-05  2.278E-05  2975.50  2575.50 1.014     0     .000
   410.00      1.575E-05  1.733E-05  1.906E-05  1.841E-05  2985.50  2575.50 1.007     0     .000
   420.00      1.296E-05  1.426E-05  1.568E-05  1.441E-05  2995.50  2575.50 1.001     0     .000
   430.00      1.066E-05  1.172E-05  1.289E-05  1.125E-05  3005.50  2575.50  .994     0     .000
   440.00      8.749E-06  9.624E-06  1.059E-05  9.419E-06  3015.50  2575.50  .987     0     .000
   450.00      7.172E-06  7.889E-06  8.678E-06  7.677E-06  3025.50  2575.50  .981     0     .000
   460.00      5.868E-06  6.455E-06  7.100E-06  6.165E-06  3035.50  2575.50  .974     0     .000
   470.00      4.791E-06  5.270E-06  5.797E-06  4.999E-06  3045.50  2575.50  .968     0     .000
   480.00      3.902E-06  4.292E-06  4.721E-06  4.107E-06  3055.50  2575.50  .962     0     .000
   490.00      3.170E-06  3.487E-06  3.835E-06  3.342E-06  3065.50  2575.50  .955     0     .000
   500.00      2.567E-06  2.824E-06  3.107E-06  2.644E-06  3075.50  2575.50  .949     0     .000
   510.00      2.073E-06  2.281E-06  2.509E-06  2.041E-06  3085.50  2575.50  .943     0     .000
