#Z(m)	Temp(K)	Pres (Nm2)	rho(kgm3)	a (m/s)
0		735.30	9.209E+06	6.479E+01	428.03
1000	727.70	8.645E+06	6.156E+01	425.46
2000	720.20	8.109E+06	5.845E+01	422.88
3000	712.40	7.601E+06	5.547E+01	420.27
4000	704.60	7.120E+06	5.262E+01	417.63
5000	696.80	6.666E+06	4.987E+01	415.09
6000	688.80	6.234E+06	4.724E+01	412.43
7000	681.10	5.829E+06	4.471E+01	409.94
8000	673.60	5.443E+06	4.226E+01	407.46
9000	665.80	5.081E+06	3.995E+01	404.90
10000	658.20	4.739E+06	3.772E+01	402.42
11000	650.60	4.416E+06	3.558E+01	399.98
12000	643.20	4.112E+06	3.354E+01	397.53
13000	635.50	3.826E+06	3.160E+01	395.05
14000	628.10	3.557E+06	2.974E+01	392.64
15000	620.80	3.303E+06	2.795E+01	390.29
16000	613.30	3.066E+06	2.627E+01	387.87
17000	605.20	2.842E+06	2.468E+01	385.27
18000	597.10	2.633E+06	2.318E+01	382.64
19000	589.30	2.437E+06	2.174E+01	380.12
20000	580.70	2.252E+06	2.039E+01	377.31
21000	572.40	2.080E+06	1.911E+01	374.57
22000	564.30	1.918E+06	1.788E+01	371.85
23000	556.00	1.766E+06	1.671E+01	369.09
24000	547.50	1.625E+06	1.562E+01	366.20
25000	539.20	1.493E+06	1.457E+01	363.43
26000	530.70	1.370E+06	1.359E+01	360.48
27000	522.30	1.255E+06	1.265E+01	357.60
28000	513.80	1.149E+06	1.177E+01	354.73
29000	505.60	1.050E+06	1.093E+01	351.89
30000	496.90	9.585E+05	1.015E+01	348.89
31000	488.30	8.729E+05	9.406E+00	345.86
32000	479.90	7.940E+05	8.704E+00	342.91
33000	471.70	7.210E+05	8.041E+00	339.97
34000	463.40	6.537E+05	7.420E+00	336.99
35000	455.50	5.917E+05	6.831E+00	334.15
36000	448.00	5.346E+05	6.274E+00	331.41
37000	439.90	4.822E+05	5.762E+00	328.44
38000	432.50	4.342E+05	5.276E+00	325.70
39000	425.10	3.902E+05	4.823E+00	322.93
40000	417.60	3.501E+05	4.404E+00	320.11
41000	410.00	3.135E+05	4.015E+00	317.25
42000	403.50	2.802E+05	3.646E+00	314.74
43000	397.10	2.499E+05	3.303E+00	312.29
44000	391.20	2.225E+05	2.985E+00	309.97
45000	385.40	1.979E+05	2.693E+00	307.77
46000	379.70	1.756E+05	2.426E+00	305.45
47000	373.10	1.555E+05	2.186E+00	302.81
48000	366.40	1.375E+05	1.967E+00	300.18
49000	358.60	1.213E+05	1.773E+00	296.96
50000	350.50	1.066E+05	1.594E+00	293.60
51000	342.00	9.347E+04	1.432E+00	290.06
52000	333.30	8.168E+04	1.284E+00	286.35
53000	323.00	7.109E+04	1.153E+00	281.91
54000	312.80	6.163E+04	1.032E+00	277.45
55000	302.30	5.314E+04	9.207E-01	272.76
56000	291.80	4.559E+04	8.183E-01	267.98
57000	282.50	3.891E+04	7.212E-01	263.71
58000	275.20	3.306E+04	6.289E-01	260.31
59000	268.70	2.797E+04	5.448E-01	257.25
60000	262.80	2.357E+04	4.694E-01	254.41
61000	258.60	1.977E+04	4.001E-01	252.37
62000	254.50	1.659E+04	3.411E-01	250.39
63000	251.00	1.385E+04	2.886E-01	248.72
64000	247.50	1.156E+04	2.443E-01	246.97
65000	244.30	9.599E+03	2.055E-01	245.38
66000	241.00	7.970E+03	1.729E-01	243.76
67000	238.20	6.590E+03	1.446E-01	242.37
68000	235.40	5.448E+03	1.210E-01	240.91
69000	232.60	4.484E+03	1.008E-01	239.46
70000	229.80	3.690E+03	8.393E-02	238.06
71000	226.90	3.023E+03	6.961E-02	236.60
72000	224.10	2.476E+03	5.775E-02	235.09
73000	221.30	2.018E+03	4.765E-02	233.64
74000	218.60	1.645E+03	3.933E-02	232.19
75000	215.30	1.333E+03	3.236E-02	230.43
76000	212.10	1.081E+03	2.663E-02	228.75
77000	208.70	8.705E+02	2.179E-02	226.92
78000	205.30	7.010E+02	1.784E-02	225.05
79000	201.20	5.600E+02	1.454E-02	222.81
80000	197.10	4.474E+02	1.186E-02	220.51
81000	193.50	3.544E+02	9.570E-03	218.48
82000	189.90	2.808E+02	7.725E-03	216.46
83000	186.90	2.206E+02	6.168E-03	214.71
84000	183.80	1.733E+02	4.926E-03	212.95
85000	181.00	1.351E+02	3.900E-03	211.31
86000	178.20	1.054E+02	3.088E-03	209.75
87000	175.90	8.154E+01	2.421E-03	208.36
88000	173.60	6.311E+01	1.898E-03	207.03
89000	171.50	4.855E+01	1.478E-03	205.77
90000	169.40	3.735E+01	1.151E-03	204.52
91000	168.30	2.861E+01	8.870E-04	203.90
92000	167.20	2.191E+01	6.836E-04	203.26
93000	167.20	1.675E+01	5.226E-04	203.26
94000	167.20	1.281E+01	3.995E-04	203.30
95000	168.20	9.812E+00	3.040E-04	203.97
96000	169.20	7.515E+00	2.314E-04	204.60
97000	170.60	5.783E+00	1.765E-04	205.51
98000	172.00	4.450E+00	1.347E-04	206.36
99000	172.60	3.435E+00	1.036E-04	206.73
100000	173.30	2.652E+00	7.972E-05	207.08
101000	170.70	2.021E+00	6.169E-05	205.50
102000	168.20	1.541E+00	4.775E-05	203.96
103000	165.60	1.175E+00	3.696E-05	202.43
104000	163.10	8.958E-01	2.862E-05	200.86
105000	160.50	6.829E-01	2.217E-05	199.26
106000	157.90	5.100E-01	1.681E-05	197.76
107000	155.30	3.809E-01	1.276E-05	196.16
108000	152.70	2.844E-01	9.680E-06	194.60
109000	150.10	2.124E-01	7.348E-06	193.03
110000	147.50	1.586E-01	5.580E-06	191.41
111000	146.70	1.163E-01	4.109E-06	191.01
112000	145.80	8.534E-02	3.026E-06	190.66
113000	144.90	6.259E-02	2.229E-06	190.25
114000	144.00	4.591E-02	1.642E-06	189.84
115000	143.20	3.368E-02	1.209E-06	189.50
116000	143.20	2.464E-02	8.809E-07	189.88
117000	143.20	1.803E-02	6.417E-07	190.31
118000	143.20	1.319E-02	4.675E-07	190.70
119000	143.30	9.651E-03	3.406E-07	191.11
120000	143.30	7.061E-03	2.481E-07	191.53
