In [6]: run section-3-7-mars-smallsat-performance-analysis-prd.py
RUN #: 1, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 30, EFPA: -9.34, SIGMA: 0.32, APO : 2224.53
RUN #: 2, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 892, EFPA: -9.39, SIGMA: 0.10, APO : 1797.72
RUN #: 3, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 153, EFPA: -9.32, SIGMA: -0.94, APO : 2117.98
RUN #: 4, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 206, EFPA: -9.18, SIGMA: -1.17, APO : 2227.67
RUN #: 5, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 366, EFPA: -9.30, SIGMA: -0.52, APO : 2059.34
RUN #: 6, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 655, EFPA: -9.21, SIGMA: 2.49, APO : 1940.67
RUN #: 7, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 544, EFPA: -9.31, SIGMA: -1.20, APO : 2256.76
RUN #: 8, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 541, EFPA: -9.32, SIGMA: -0.76, APO : 2159.71
RUN #: 9, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 181, EFPA: -9.12, SIGMA: 0.01, APO : 2041.93
RUN #: 10, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 8, EFPA: -9.19, SIGMA: -0.56, APO : 2260.32
RUN #: 11, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 226, EFPA: -9.39, SIGMA: -0.70, APO : 1658.12
RUN #: 12, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 983, EFPA: -9.22, SIGMA: 0.27, APO : 1982.19
RUN #: 13, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 712, EFPA: -9.18, SIGMA: 0.00, APO : 2056.51
RUN #: 14, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 517, EFPA: -9.31, SIGMA: 0.00, APO : 2569.78
RUN #: 15, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 732, EFPA: -9.22, SIGMA: -0.97, APO : 2197.10
RUN #: 16, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 236, EFPA: -9.20, SIGMA: 0.35, APO : 2039.74
RUN #: 17, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 45, EFPA: -9.35, SIGMA: 0.07, APO : 2392.54
RUN #: 18, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 495, EFPA: -9.22, SIGMA: 1.67, APO : 1980.37
RUN #: 19, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 34, EFPA: -9.21, SIGMA: -1.38, APO : 2386.57
RUN #: 20, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 347, EFPA: -9.30, SIGMA: 0.34, APO : 2592.72
RUN #: 21, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 646, EFPA: -9.18, SIGMA: 0.91, APO : 2059.40
RUN #: 22, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 879, EFPA: -9.23, SIGMA: 0.21, APO : 2631.68
RUN #: 23, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 611, EFPA: -9.24, SIGMA: 0.76, APO : 1946.36
RUN #: 24, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 654, EFPA: -9.29, SIGMA: 1.68, APO : 2014.27
RUN #: 25, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 103, EFPA: -9.34, SIGMA: -0.24, APO : 2461.85
RUN #: 26, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 99, EFPA: -9.25, SIGMA: 0.05, APO : 2136.37
RUN #: 27, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 958, EFPA: -9.19, SIGMA: -0.42, APO : 2089.04
RUN #: 28, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 597, EFPA: -9.21, SIGMA: 1.64, APO : 1643.56
RUN #: 29, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 900, EFPA: -9.20, SIGMA: -0.33, APO : 1805.49
RUN #: 30, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 909, EFPA: -9.22, SIGMA: -0.14, APO : 2226.03
RUN #: 31, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 317, EFPA: -9.24, SIGMA: -0.19, APO : 1889.05
RUN #: 32, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 697, EFPA: -9.29, SIGMA: -0.87, APO : 1818.56
RUN #: 33, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 917, EFPA: -9.42, SIGMA: 0.37, APO : 1970.42
RUN #: 34, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 456, EFPA: -9.20, SIGMA: 0.10, APO : 2135.28
RUN #: 35, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 32, EFPA: -9.39, SIGMA: -0.09, APO : 1911.71
RUN #: 36, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 12, EFPA: -9.28, SIGMA: 0.00, APO : 2064.08
RUN #: 37, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 975, EFPA: -9.07, SIGMA: 0.94, APO : 1947.36
RUN #: 38, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 798, EFPA: -9.24, SIGMA: -0.07, APO : 2288.40
RUN #: 39, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 127, EFPA: -9.13, SIGMA: 1.64, APO : 2178.54
RUN #: 40, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 230, EFPA: -9.23, SIGMA: 0.92, APO : 2227.36
RUN #: 41, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 836, EFPA: -9.28, SIGMA: -0.61, APO : 1872.18
RUN #: 42, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 945, EFPA: -9.28, SIGMA: -0.42, APO : 1764.39
RUN #: 43, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 344, EFPA: -9.29, SIGMA: -0.79, APO : 1640.39
/home/athul/Documents/Codes/AMAT/venv/lib/python3.8/site-packages/AMAT-2.2.17-py3.8.egg/AMAT/vehicle.py:616: RuntimeWarning: invalid value encountered in sqrt
  ans[:] = 1.8980E-8 * (rho_vec[:]/self.RN)**0.5 * v[:]**3.0
RUN #: 44, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 953, EFPA: -9.24, SIGMA: -1.65, APO : 2072.76
RUN #: 45, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 55, EFPA: -9.33, SIGMA: 0.20, APO : 1900.05
RUN #: 46, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 963, EFPA: -9.28, SIGMA: 1.59, APO : 1717.54
RUN #: 47, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 826, EFPA: -9.36, SIGMA: 0.55, APO : 2363.96
RUN #: 48, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 451, EFPA: -9.26, SIGMA: -0.03, APO : 2281.87
RUN #: 49, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 618, EFPA: -9.25, SIGMA: -2.62, APO : 2151.80
RUN #: 50, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 31, EFPA: -9.31, SIGMA: 0.54, APO : 1817.30
RUN #: 51, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 972, EFPA: -9.31, SIGMA: 1.29, APO : 1789.46
RUN #: 52, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 562, EFPA: -9.37, SIGMA: -2.31, APO : 1742.02
RUN #: 53, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 357, EFPA: -9.16, SIGMA: 0.78, APO : 2464.60
RUN #: 54, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 683, EFPA: -9.22, SIGMA: 1.43, APO : 2245.54
RUN #: 55, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 62, EFPA: -9.19, SIGMA: 0.11, APO : 2117.41
RUN #: 56, PROF: ../../../atmdata/Mars/LAT00N-N1000.txt, SAMPLE #: 854, EFPA: -9.40, SIGMA: 0.36, APO : 1902.65
