(venv) athul@athul-Lenovo-YOGA-720-13IKB:~/Documents/Codes/AMAT/examples/acta-astronautica/uranus-orbiter-probe$ python3 08-performance-analysis-prd.py
RUN #: 1, SAMPLE #: 110, EFPA: -11.49, SIGMA: -1.41, LD: 0.24, APO : 562018.63
RUN #: 2, SAMPLE #: 61, EFPA: -11.50, SIGMA: 0.97, LD: 0.24, APO : 514304.10
RUN #: 3, SAMPLE #: 22, EFPA: -11.63, SIGMA: 0.32, LD: 0.22, APO : 512136.63
RUN #: 4, SAMPLE #: 30, EFPA: -11.80, SIGMA: -0.28, LD: 0.23, APO : 544783.04
RUN #: 5, SAMPLE #: 128, EFPA: -11.66, SIGMA: 1.88, LD: 0.22, APO : 557922.04
RUN #: 6, SAMPLE #: 98, EFPA: -11.77, SIGMA: -0.08, LD: 0.21, APO : 547424.48
RUN #: 7, SAMPLE #: 107, EFPA: -11.50, SIGMA: 0.42, LD: 0.22, APO : 557337.69
RUN #: 8, SAMPLE #: 46, EFPA: -11.74, SIGMA: -0.29, LD: 0.24, APO : 531420.79
RUN #: 9, SAMPLE #: 9, EFPA: -11.79, SIGMA: 1.19, LD: 0.26, APO : 473862.71
RUN #: 10, SAMPLE #: 150, EFPA: -11.69, SIGMA: -0.38, LD: 0.23, APO : 500340.56
RUN #: 11, SAMPLE #: 188, EFPA: -11.66, SIGMA: 0.30, LD: 0.24, APO : 489930.17
RUN #: 12, SAMPLE #: 59, EFPA: -11.69, SIGMA: 0.90, LD: 0.24, APO : 518188.72
RUN #: 13, SAMPLE #: 186, EFPA: -11.85, SIGMA: -0.39, LD: 0.26, APO : 576538.64
RUN #: 14, SAMPLE #: 136, EFPA: -11.77, SIGMA: 1.36, LD: 0.23, APO : 521683.25
RUN #: 15, SAMPLE #: 50, EFPA: -11.71, SIGMA: -2.37, LD: 0.24, APO : 506725.95
RUN #: 16, SAMPLE #: 60, EFPA: -11.70, SIGMA: 0.30, LD: 0.24, APO : 530283.89
RUN #: 17, SAMPLE #: 6, EFPA: -11.63, SIGMA: 1.05, LD: 0.22, APO : 516251.51
RUN #: 18, SAMPLE #: 140, EFPA: -11.81, SIGMA: -0.73, LD: 0.23, APO : 563652.30
RUN #: 19, SAMPLE #: 94, EFPA: -11.58, SIGMA: 2.54, LD: 0.25, APO : 520967.21
RUN #: 20, SAMPLE #: 198, EFPA: -11.65, SIGMA: -2.55, LD: 0.23, APO : 489667.08
RUN #: 21, SAMPLE #: 5, EFPA: -11.77, SIGMA: 0.49, LD: 0.22, APO : 538503.19
RUN #: 22, SAMPLE #: 140, EFPA: -11.72, SIGMA: -0.30, LD: 0.23, APO : 568442.66
RUN #: 23, SAMPLE #: 110, EFPA: -11.74, SIGMA: 1.34, LD: 0.25, APO : 539612.39
RUN #: 24, SAMPLE #: 136, EFPA: -11.68, SIGMA: -0.77, LD: 0.23, APO : 487155.90
RUN #: 25, SAMPLE #: 113, EFPA: -11.85, SIGMA: -1.06, LD: 0.25, APO : 497114.69
