In [5]: run section-4-7-venus-smallsat-performance-analysis-prd.py
RUN #: 1, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 148, EFPA: -5.19, SIGMA: -0.17, APO : 1804.12
RUN #: 2, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 7, EFPA: -5.18, SIGMA: 0.18, APO : 1920.88
RUN #: 3, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 172, EFPA: -5.19, SIGMA: -0.93, APO : 1918.60
RUN #: 4, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 81, EFPA: -5.23, SIGMA: 2.48, APO : 2923.42
RUN #: 5, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 11, EFPA: -5.20, SIGMA: -0.89, APO : 1900.45
RUN #: 6, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 127, EFPA: -5.16, SIGMA: 0.26, APO : 1798.28
RUN #: 7, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 134, EFPA: -5.19, SIGMA: -0.36, APO : 1677.30
RUN #: 8, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 84, EFPA: -5.22, SIGMA: -1.07, APO : 1809.26
RUN #: 9, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 24, EFPA: -5.20, SIGMA: -0.71, APO : 1913.95
RUN #: 10, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 125, EFPA: -5.22, SIGMA: 0.02, APO : 2716.80
RUN #: 11, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 29, EFPA: -5.20, SIGMA: -0.38, APO : 2372.31
RUN #: 12, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 102, EFPA: -5.19, SIGMA: 2.18, APO : 1771.98
RUN #: 13, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 25, EFPA: -5.13, SIGMA: -0.58, APO : 3762.30
RUN #: 14, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 91, EFPA: -5.17, SIGMA: 0.89, APO : 2358.64
RUN #: 15, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 77, EFPA: -5.19, SIGMA: -0.92, APO : 1807.39
RUN #: 16, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 121, EFPA: -5.25, SIGMA: 0.32, APO : 2031.29
RUN #: 17, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 161, EFPA: -5.21, SIGMA: 0.66, APO : 2241.49
RUN #: 18, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 161, EFPA: -5.20, SIGMA: -0.06, APO : 2188.58
