(venv) athul@athul-Lenovo-YOGA-720-13IKB:~/Documents/Codes/AMAT-py3.9/AMAT/examples/mdpi-aerospace/smallsat-mission-concepts$ python section-4-7-venus-smallsat-performance-analysis-prd-1.py
RUN #: 1, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 34, EFPA: -5.17, SIGMA: 0.72, APO : 2242.54
RUN #: 2, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 178, EFPA: -5.20, SIGMA: 0.10, APO : 2174.86
RUN #: 3, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 160, EFPA: -5.22, SIGMA: 0.11, APO : 2347.10
RUN #: 4, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 124, EFPA: -5.21, SIGMA: -0.21, APO : 2004.40
RUN #: 5, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 132, EFPA: -5.22, SIGMA: -0.67, APO : 2024.91
RUN #: 6, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 21, EFPA: -5.24, SIGMA: 0.77, APO : 2109.53
RUN #: 7, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 186, EFPA: -5.21, SIGMA: 0.42, APO : 2146.37
RUN #: 8, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 35, EFPA: -5.20, SIGMA: 0.55, APO : 2007.33
RUN #: 9, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 68, EFPA: -5.19, SIGMA: -0.01, APO : 2027.17
RUN #: 10, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 25, EFPA: -5.24, SIGMA: -0.53, APO : 1998.69
RUN #: 11, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 192, EFPA: -5.24, SIGMA: -0.20, APO : 2187.37
RUN #: 12, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 146, EFPA: -5.15, SIGMA: -0.07, APO : 1983.99
RUN #: 13, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 44, EFPA: -5.13, SIGMA: -0.66, APO : 1957.71
RUN #: 14, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 36, EFPA: -5.24, SIGMA: 0.15, APO : 2722.88
RUN #: 15, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 140, EFPA: -5.19, SIGMA: -1.80, APO : 1964.95
RUN #: 16, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 81, EFPA: -5.28, SIGMA: 0.30, APO : 2295.53
RUN #: 17, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 60, EFPA: -5.21, SIGMA: -0.03, APO : 1880.07
RUN #: 18, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 101, EFPA: -5.19, SIGMA: 1.18, APO : 1733.48
RUN #: 19, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 170, EFPA: -5.18, SIGMA: -0.78, APO : 2015.19
RUN #: 20, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 162, EFPA: -5.24, SIGMA: 0.40, APO : 1622.50
RUN #: 21, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 113, EFPA: -5.19, SIGMA: -0.07, APO : 1990.45
RUN #: 22, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 199, EFPA: -5.18, SIGMA: 0.12, APO : 2023.14
RUN #: 23, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 78, EFPA: -5.21, SIGMA: 1.32, APO : 2277.15
RUN #: 24, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 181, EFPA: -5.17, SIGMA: -0.56, APO : 2078.18
RUN #: 25, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 96, EFPA: -5.26, SIGMA: -0.17, APO : 2135.61
RUN #: 26, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 51, EFPA: -5.12, SIGMA: -1.43, APO : 2018.77
RUN #: 27, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 14, EFPA: -5.18, SIGMA: 0.79, APO : 2235.79
